Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000106153,0.6715528982,-0.0863676956,-0.6680276867,1.7643686398,-0.6680276867,-0.6680276867,-0.6680276867,-0.6680276867,-0.6680276867,-0.3872580141
ENSMUSG00000074508,0.2677295807,-0.6484653353,-0.1652847312,1.7595166916,-0.7355962639,-1.3059077966,-0.0227068481,-0.9890680562,0.4367107755,0.3787079895
ENSMUSG00000090582,-0.9186484024,0.543658291,1.417947478,1.7506415935,-0.9186484024,-0.8464357263,0.4121280593,-0.4544240553,-0.0675704327,0.7430208718
ENSMUSG00000086728,-0.4732694371,-0.4732694371,-0.4732694371,1.7505267138,-0.4732694371,2.0356287833,-0.4732694371,-0.4732694371,-0.4732694371,0.3214516643
ENSMUSG00000105328,-0.7904387316,-0.6963388826,1.4679576444,1.7502571914,-0.7904387316,-0.4140393356,0.3387594564,0.7151588524,-0.7904387316,0.0485410482
ENSMUSG00000102672,-0.2371693444,-0.4749221312,0.5796500459,1.7479934951,-1.1006641283,-1.0656575831,-1.1006641283,1.2797809518,0.0107936848,0.5604813147
ENSMUSG00000108551,-0.4816929595,0.8984576516,-1.161570108,1.7245083869,-1.0391922213,-0.6720585612,0.9392502805,0.6469031066,0.0418124446,0.3264032034
ENSMUSG00000105975,-0.940655796,-0.0822426501,1.2597958981,1.7153341627,-0.5509467604,-0.846446855,-0.940655796,-0.8663419109,0.3618852148,-0.5197234581
ENSMUSG00000097783,0.2528057308,0.6948182662,1.3339874722,1.6774216724,-0.383183529,-0.9555738627,-0.9555738627,-0.9555738627,-0.9555738627,1.9677888856
ENSMUSG00000106099,1.1834002792,-0.8618241163,1.1525289675,1.6696234373,-0.9467202233,-0.9055584746,0.2572609303,-0.8129445397,-0.2521157116,1.3671326909
ENSMUSG00000104415,-0.8374726192,0.6421965518,-0.6562886391,1.6689057726,-0.7166832991,-0.5958939791,-0.8374726192,0.531473008,-0.7166832991,-0.1996629944
ENSMUSG00000046413,1.7748741995,-0.2386110802,0.3497450079,1.6637402715,-1.0230858644,-0.73544511,-0.3955060371,0.1013279927,-0.6308484723,-0.4391612495
ENSMUSG00000103283,1.2488005685,-0.7429429754,0.8527152049,1.616594121,-1.0824447158,-0.4034412349,-0.7768931494,-0.2450070896,-1.0824447158,-0.0032681484
ENSMUSG00000102840,0.0687298582,-0.7400608957,1.1448033931,1.5717616021,-0.5422022135,-0.9865164474,-1.0837101859,-0.8060137897,0.1242691373,0.455549555
ENSMUSG00000099881,-1.0737933351,-0.7205014103,-0.1745047992,1.5598373772,-0.1745047992,-0.9453235442,-1.0737933351,0.8960767907,0.3393743642,0.3919726959
ENSMUSG00000102548,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4691124551
ENSMUSG00000097109,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,0.1743122306
ENSMUSG00000086043,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.0544034055
ENSMUSG00000105987,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4719103585
ENSMUSG00000044730,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4719103585
ENSMUSG00000085720,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.3305296212
ENSMUSG00000092405,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.2123571845
ENSMUSG00000111312,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4728588644
